scanner	tf	symbol	trades	wins	net	pf	avgR	netStress	windowsUp	days
15m-nifty-multi-day-swing-target-engine-v1-0	4h	AKEUSD	0	0	0.00	0.000	0.000	0.00	0	63
15m-nifty-multi-day-swing-target-engine-v1-0	1h	AKEUSD	23	9	-49.12	0.671	-0.123	-46.90	2	63
15m-nifty-multi-day-swing-target-engine-v1-0	15m	AKEUSD	73	19	-118.91	0.765	-0.095	-192.41	2	42
15m-nifty-multi-day-swing-target-engine-v1-0	4h	AVAXUSD	29	14	-70.03	0.689	-0.118	-67.14	4	333
15m-nifty-multi-day-swing-target-engine-v1-0	1h	AVAXUSD	67	26	-190.59	0.675	-0.150	-330.06	3	125
15m-nifty-multi-day-swing-target-engine-v1-0	4h	MUBARAKUSD	51	19	4.45	1.011	0.013	-51.64	5	333
15m-nifty-multi-day-swing-target-engine-v1-0	15m	AVAXUSD	115	47	-84.99	0.886	-0.030	-409.36	3	42
15m-nifty-multi-day-swing-target-engine-v1-0	4h	SAGAUSD	39	12	-88.97	0.747	-0.109	-112.37	4	333
15m-nifty-multi-day-swing-target-engine-v1-0	1h	MUBARAKUSD	101	41	106.09	1.115	0.066	-40.68	5	125
15m-nifty-multi-day-swing-target-engine-v1-0	4h	AINUSD	34	11	-172.23	0.410	-0.278	-192.46	3	333
3commas-trail-hunter-reversal-long	1h	AKEUSD	24	15	65.97	1.594	0.148	62.06	5	63
15m-nifty-multi-day-swing-target-engine-v1-0	15m	MUBARAKUSD	182	62	-515.66	0.503	-0.194	-627.55	0	42
15m-nifty-multi-day-swing-target-engine-v1-0	1h	SAGAUSD	100	32	-332.76	0.582	-0.195	-401.70	1	125
15m-nifty-multi-day-swing-target-engine-v1-0	4h	COOKIEUSD	52	24	122.42	1.291	0.125	51.83	5	333
15m-nifty-multi-day-swing-target-engine-v1-0	4h	1000PEPEUSD	25	6	-156.25	0.414	-0.334	-88.96	3	268
15m-nifty-multi-day-swing-target-engine-v1-0	1h	AINUSD	82	30	-32.43	0.957	-0.006	-161.29	4	125
15m-nifty-multi-day-swing-target-engine-v1-0	4h	ETCUSD	46	14	-183.20	0.581	-0.211	-217.26	2	333
