scanner	tf	symbol	trades	wins	net	pf	avgR	netStress	windowsUp	days
mirage-liquidity-sweep-pro	4h	BTCUSD	8	5	11.18	1.191	0.084	11.38	2	333
structure-anchored-vwap	4h	BTCUSD	8	7	65.16	4.124	0.422	76.13	4	333
abcd-harmonic-projection	15m	BTCUSD	21	13	16.63	1.114	0.045	-94.24	4	42
structure-anchored-vwap	1h	BTCUSD	13	8	56.31	1.563	0.229	147.77	4	125
mirage-liquidity-sweep-pro	4h	SOLUSD	8	6	74.79	2.892	0.519	60.24	5	333
structure-anchored-vwap	15m	BTCUSD	9	8	132.24	7.541	0.722	159.25	4	42
structure-anchored-vwap	4h	SOLUSD	8	8	101.44	99.000	0.658	92.72	5	333
abcd-harmonic-projection	15m	SOLUSD	36	18	-85.54	0.734	-0.123	-119.06	3	42
mirage-liquidity-sweep-pro	1h	BTCUSD	14	6	-56.56	0.622	-0.199	-79.42	3	125
mirage-liquidity-sweep-pro	4h	LINKUSD	11	4	-70.24	0.427	-0.323	-42.83	2	333
structure-anchored-vwap	4h	LINKUSD	10	9	137.98	7.165	0.665	130.90	5	333
structure-anchored-vwap	1h	SOLUSD	21	16	191.03	3.249	0.435	108.90	6	125
mirage-liquidity-sweep-pro	15m	BTCUSD	5	3	8.76	1.387	0.098	-11.83	3	42
abcd-harmonic-projection	15m	LINKUSD	42	21	-55.21	0.860	-0.060	-155.64	4	42
abcd-harmonic-projection	1h	BTCUSD	29	11	-182.26	0.390	-0.351	-217.05	1	125
abcd-harmonic-projection	4h	BTCUSD	20	7	-48.59	0.631	-0.127	-67.57	2	333
structure-anchored-vwap	15m	SOLUSD	16	13	188.50	3.785	0.561	134.28	5	42
abcd-harmonic-projection	4h	SOLUSD	25	6	-85.98	0.539	-0.194	-94.29	0	333
abcd-harmonic-projection	1h	SOLUSD	38	16	-160.36	0.467	-0.232	-152.74	0	125
structure-anchored-vwap	1h	LINKUSD	12	10	105.69	3.546	0.428	51.42	5	125
abcd-harmonic-projection	4h	LINKUSD	35	9	-167.20	0.294	-0.261	-192.85	3	333
pulse-trend-radar	15m	BTCUSD	37	22	57.45	1.230	0.086	-21.47	4	42
mirage-liquidity-sweep-pro	1h	SOLUSD	14	7	-25.56	0.802	-0.085	-57.04	5	125
abcd-harmonic-projection	1h	LINKUSD	38	14	-154.19	0.572	-0.212	-181.26	2	125
pulse-trend-radar	1h	BTCUSD	48	21	-174.68	0.627	-0.197	-199.03	1	125
pulse-trend-radar	4h	BTCUSD	36	14	-130.18	0.639	-0.212	-169.94	3	333
structure-anchored-vwap	15m	LINKUSD	9	7	52.57	2.287	0.291	40.98	5	42
mirage-liquidity-sweep-pro	15m	SOLUSD	20	13	1.28	1.009	0.014	-41.53	3	42
pulse-trend-radar	4h	SOLUSD	34	15	-109.22	0.606	-0.209	-129.96	4	333
pulse-trend-radar	15m	SOLUSD	42	23	-106.23	0.686	-0.131	-109.47	4	42
pulse-trend-radar	1h	SOLUSD	51	25	-62.02	0.861	-0.053	-143.84	3	125
breakout-pattern-setup	15m	BTCUSD	21	9	-15.64	0.896	-0.030	-56.30	3	42
breakout-pattern-setup	1h	BTCUSD	19	12	55.41	1.409	0.164	48.25	3	125
pulse-trend-radar	4h	LINKUSD	39	18	-114.29	0.695	-0.149	-131.99	2	333
pulse-trend-radar	1h	LINKUSD	59	27	-116.62	0.789	-0.094	-255.81	3	125
mirage-liquidity-sweep-pro	1h	LINKUSD	14	8	3.93	1.032	0.022	-26.01	4	125
pulse-trend-radar	15m	LINKUSD	55	27	-36.15	0.926	-0.021	-149.68	4	42
breakout-pattern-setup	1h	SOLUSD	22	8	-84.05	0.551	-0.210	-106.97	1	125
breakout-pattern-setup	4h	BTCUSD	17	8	-21.56	0.843	-0.042	-38.75	3	333
breakout-pattern-setup	15m	SOLUSD	25	14	130.31	1.888	0.259	50.08	5	42
breakout-pattern-setup	4h	SOLUSD	15	7	-34.01	0.720	-0.117	-36.67	3	333
mirage-liquidity-sweep-pro	15m	LINKUSD	18	9	-42.58	0.741	-0.114	-76.33	2	42
breakout-pattern-setup	1h	LINKUSD	21	11	15.70	1.112	0.044	1.26	3	125
breakout-pattern-setup	15m	LINKUSD	26	8	-60.33	0.758	-0.110	-90.16	4	42
breakout-pattern-setup	4h	LINKUSD	20	9	19.18	1.130	0.058	12.11	4	333
swing-volume-profile-pro	1h	BTCUSD	59	30	-36.41	0.919	-0.022	-187.88	3	125
swing-volume-profile-pro	4h	BTCUSD	51	28	68.22	1.172	0.082	-98.36	4	333
stealthtrail-supertrend	15m	BTCUSD	77	29	-180.23	0.645	-0.124	-306.45	3	42
swing-volume-profile-pro	15m	BTCUSD	22	7	-119.29	0.340	-0.290	-173.67	1	42
stealthtrail-supertrend-ml-pro	4h	BTCUSD	36	13	-28.79	0.869	-0.032	-57.61	4	333
swing-volume-profile-pro	4h	SOLUSD	55	28	-50.54	0.894	-0.042	-111.83	3	333
stealthtrail-supertrend	15m	SOLUSD	102	37	-288.07	0.623	-0.163	-388.91	3	42
stealthtrail-supertrend-ml-pro	1h	BTCUSD	74	36	61.37	1.122	0.050	-67.05	4	125
