scanner	tf	symbol	trades	wins	net	pf	avgR	netStress	windowsUp	days
mirage-liquidity-sweep-pro	4h	BTCUSD	16	6	-109.31	0.380	-0.360	-108.01	3	666
structure-anchored-vwap	4h	BTCUSD	19	15	204.43	3.390	0.512	225.09	6	666
structure-anchored-vwap	1h	BTCUSD	32	23	206.62	2.000	0.315	222.06	5	250
mirage-liquidity-sweep-pro	4h	FILUSD	16	7	-50.67	0.713	-0.151	-56.99	2	666
structure-anchored-vwap	4h	FILUSD	23	21	546.65	9.727	0.975	536.25	7	666
mirage-liquidity-sweep-pro	4h	SOLUSD	18	9	-1.57	0.989	-0.006	-21.64	4	666
mirage-liquidity-sweep-pro	1h	BTCUSD	31	13	-163.00	0.490	-0.281	-201.25	2	250
structure-anchored-vwap	4h	SOLUSD	16	16	330.80	99.000	1.072	295.59	8	666
pulse-trend-radar	15m	BTCUSD	126	63	-277.64	0.680	-0.122	-398.74	2	125
structure-anchored-vwap	1h	FILUSD	25	19	337.63	3.282	0.598	227.61	7	250
mirage-liquidity-sweep-pro	4h	UNIUSD	9	6	89.74	2.486	0.496	81.39	4	666
structure-anchored-vwap	4h	UNIUSD	25	20	354.13	4.053	0.629	357.53	8	666
mirage-liquidity-sweep-pro	4h	PIEVERSEUSD	2	1	-10.82	0.454	-0.272	-11.30	1	154
structure-anchored-vwap	4h	PIEVERSEUSD	3	2	34.78	2.759	0.594	32.12	2	154
mirage-liquidity-sweep-pro	4h	ZECUSD	7	2	-58.93	0.350	-0.444	-60.74	1	352
mirage-liquidity-sweep-pro	4h	AKEUSD	2	0	-34.17	0.000	-1.000	-34.63	0	63
structure-anchored-vwap	4h	ZECUSD	13	11	250.68	6.406	0.911	201.69	5	352
structure-anchored-vwap	4h	AKEUSD	1	1	11.07	99.000	0.928	10.97	1	63
structure-anchored-vwap	1h	SOLUSD	35	29	512.41	4.869	0.625	473.12	7	250
structure-anchored-vwap	15m	BTCUSD	22	16	153.44	2.441	0.342	206.70	5	125
mirage-liquidity-sweep-pro	1h	FILUSD	19	6	-108.53	0.546	-0.291	-161.83	2	250
mirage-liquidity-sweep-pro	4h	ETHUSD	23	11	60.28	1.247	0.155	14.37	2	666
pulse-trend-radar	15m	FILUSD	291	124	197.36	1.058	0.047	-539.75	3	125
structure-anchored-vwap	4h	ETHUSD	21	21	529.37	99.000	1.045	460.99	8	666
mirage-liquidity-sweep-pro	4h	AVAXUSD	13	7	15.46	1.131	0.089	-25.09	4	666
structure-anchored-vwap	1h	UNIUSD	27	20	346.89	2.816	0.573	274.01	7	250
structure-anchored-vwap	4h	AVAXUSD	21	16	368.45	4.106	0.782	324.79	7	666
mirage-liquidity-sweep-pro	4h	LINKUSD	16	5	-116.72	0.335	-0.387	-91.64	2	666
structure-anchored-vwap	1h	PIEVERSEUSD	19	9	353.60	2.286	0.854	207.56	6	154
structure-anchored-vwap	4h	LINKUSD	21	18	527.64	7.284	1.050	489.81	7	666
mirage-liquidity-sweep-pro	1h	SOLUSD	24	10	-119.35	0.520	-0.263	-145.44	1	250
mirage-liquidity-sweep-pro	15m	BTCUSD	19	8	-83.23	0.546	-0.221	-147.09	2	125
structure-anchored-vwap	15m	FILUSD	19	14	408.87	4.087	0.940	194.09	6	125
pulse-trend-radar	15m	SOLUSD	163	76	-469.58	0.615	-0.193	-530.02	1	125
mirage-liquidity-sweep-pro	4h	XRPUSD	14	6	-22.84	0.835	-0.070	-2.21	3	666
structure-anchored-vwap	4h	XRPUSD	25	19	318.34	3.059	0.574	280.21	7	666
structure-anchored-vwap	1h	ZECUSD	32	27	875.37	7.101	1.030	639.37	8	250
mirage-liquidity-sweep-pro	4h	DOGEUSD	17	11	93.17	1.760	0.271	59.86	5	666
structure-anchored-vwap	1h	AKEUSD	5	3	38.39	2.075	0.399	40.42	2	63
structure-anchored-vwap	4h	DOGEUSD	25	22	546.41	8.497	0.905	497.98	7	666
mirage-liquidity-sweep-pro	1h	UNIUSD	23	9	-64.43	0.760	-0.131	-85.48	4	250
structure-anchored-vwap	4h	SUIUSD	20	16	343.82	4.282	0.766	307.66	5	666
mirage-liquidity-sweep-pro	4h	SUIUSD	11	2	-142.45	0.146	-0.692	-144.44	1	666
structure-anchored-vwap	1h	ETHUSD	33	22	314.00	2.147	0.437	271.91	6	250
pulse-trend-radar	15m	UNIUSD	215	83	-701.55	0.553	-0.273	-736.50	1	125
structure-anchored-vwap	4h	NEARUSD	20	19	803.20	22.832	1.534	752.28	7	666
mirage-liquidity-sweep-pro	4h	NEARUSD	15	7	92.38	1.726	0.322	106.94	4	666
mirage-liquidity-sweep-pro	1h	PIEVERSEUSD	17	11	73.86	1.634	0.221	15.18	4	154
structure-anchored-vwap	15m	SOLUSD	46	35	321.66	2.364	0.317	301.96	7	125
mirage-liquidity-sweep-pro	15m	FILUSD	10	4	-73.32	0.373	-0.373	-77.96	0	125
structure-anchored-vwap	4h	AAVEUSD	18	15	178.59	4.102	0.572	159.30	6	666
mirage-liquidity-sweep-pro	4h	AAVEUSD	13	6	-4.49	0.964	-0.052	-19.65	3	666
structure-anchored-vwap	1h	AVAXUSD	31	25	672.52	5.063	0.856	568.02	8	250
structure-anchored-vwap	4h	BNBUSD	20	19	421.53	22.680	0.931	313.18	8	666
mirage-liquidity-sweep-pro	4h	BNBUSD	12	4	-106.24	0.264	-0.483	-111.72	2	666
pulse-trend-radar	15m	PIEVERSEUSD	305	135	487.31	1.106	0.083	-263.05	6	125
structure-anchored-vwap	1h	LINKUSD	30	24	386.28	3.859	0.565	316.72	7	250
mirage-liquidity-sweep-pro	1h	ZECUSD	25	12	-8.26	0.965	0.004	-48.18	2	250
structure-anchored-vwap	4h	ETCUSD	27	21	280.88	3.232	0.468	276.74	7	666
mirage-liquidity-sweep-pro	4h	ETCUSD	17	8	-28.00	0.833	-0.074	-36.62	2	666
mirage-liquidity-sweep-pro	1h	AKEUSD	11	5	-35.21	0.647	-0.191	-37.72	2	63
structure-anchored-vwap	4h	WIFUSD	18	15	586.48	8.036	1.333	549.68	7	666
mirage-liquidity-sweep-pro	4h	WIFUSD	17	7	-46.21	0.773	-0.126	-53.69	2	666
structure-anchored-vwap	1h	XRPUSD	32	26	448.71	3.677	0.596	316.21	7	250
structure-anchored-vwap	15m	UNIUSD	63	44	778.23	2.374	0.481	453.16	7	125
structure-anchored-vwap	4h	TAOUSD	20	18	479.06	10.383	1.009	432.97	7	666
pulse-trend-radar	15m	ZECUSD	175	88	-79.94	0.946	-0.020	-244.75	3	125
mirage-liquidity-sweep-pro	4h	TAOUSD	13	4	-119.10	0.225	-0.483	-120.35	2	666
structure-anchored-vwap	4h	HYPEUSD	13	13	249.60	99.000	0.870	281.17	6	476
mirage-liquidity-sweep-pro	4h	HYPEUSD	4	1	-49.69	0.151	-0.631	-50.26	0	476
structure-anchored-vwap	1h	DOGEUSD	30	21	205.27	1.999	0.327	130.04	7	250
mirage-liquidity-sweep-pro	1h	ETHUSD	36	17	-113.58	0.673	-0.161	-188.52	4	250
structure-anchored-vwap	4h	EVAAUSD	8	5	37.03	1.759	0.236	33.66	3	351
pulse-trend-radar	15m	AKEUSD	112	50	-282.55	0.683	-0.163	-308.71	1	63
mirage-liquidity-sweep-pro	4h	EVAAUSD	5	2	-13.93	0.693	-0.134	-15.78	2	351
mirage-liquidity-sweep-pro	15m	SOLUSD	53	35	159.84	1.391	0.154	-43.58	4	125
structure-anchored-vwap	4h	SAGAUSD	19	17	676.50	12.249	1.408	679.24	7	666
mirage-liquidity-sweep-pro	4h	SAGAUSD	10	3	-63.23	0.456	-0.317	-66.05	3	666
structure-anchored-vwap	1h	SUIUSD	30	23	229.26	2.437	0.354	238.50	8	250
structure-anchored-vwap	4h	MUBARAKUSD	15	11	230.06	3.259	0.710	217.84	5	551
mirage-liquidity-sweep-pro	4h	MUBARAKUSD	22	5	-195.56	0.378	-0.482	-198.85	2	551
structure-anchored-vwap	4h	1000PEPEUSD	7	7	133.36	99.000	0.908	126.96	4	268
structure-anchored-vwap	15m	PIEVERSEUSD	32	24	626.09	4.245	0.784	517.97	6	125
mirage-liquidity-sweep-pro	1h	AVAXUSD	34	18	-117.08	0.603	-0.177	-183.32	2	250
mirage-liquidity-sweep-pro	4h	1000PEPEUSD	12	7	10.09	1.099	0.051	11.43	3	268
structure-anchored-vwap	1h	NEARUSD	28	23	392.57	4.562	0.605	326.31	6	250
pulse-trend-radar	15m	ETHUSD	184	81	-573.58	0.584	-0.225	-759.17	1	125
structure-anchored-vwap	4h	COOKIEUSD	15	11	191.26	3.291	0.612	171.54	5	607
mirage-liquidity-sweep-pro	4h	COOKIEUSD	10	4	-5.62	0.947	-0.012	-9.71	1	607
structure-anchored-vwap	4h	AINUSD	16	14	413.71	11.107	1.128	397.62	6	434
mirage-liquidity-sweep-pro	4h	AINUSD	18	9	19.89	1.122	0.063	11.51	4	434
structure-anchored-vwap	1h	AAVEUSD	33	28	701.10	5.520	0.863	580.14	7	250
structure-anchored-vwap	4h	BCHUSD	21	17	290.32	4.966	0.622	261.41	5	666
mirage-liquidity-sweep-pro	4h	BCHUSD	16	10	86.93	1.698	0.273	63.37	6	666
