scanner	tf	symbol	trades	wins	net	pf	avgR	netStress	windowsUp	days
structure-anchored-vwap	4h	ETHUSD	21	21	529.37	99.000	1.045	460.99	8	666
structure-anchored-vwap	1h	ETHUSD	33	22	314.00	2.147	0.437	271.91	6	250
structure-anchored-vwap	15m	ETHUSD	36	27	351.32	2.944	0.435	128.01	7	125
reactive-trail-system	1h	ETHUSD	186	93	-98.71	0.945	-0.017	-414.79	3	250
reactive-trail-system	4h	ETHUSD	130	67	329.63	1.240	0.126	129.05	5	666
reactive-trail-system	15m	ETHUSD	199	93	-484.22	0.655	-0.160	-697.73	1	125
bitcoin-almanac	4h	ETHUSD	1	0	-19.85	0.000	-1.000	-19.01	0	666
mirage-liquidity-sweep-pro	4h	ETHUSD	23	11	60.28	1.247	0.155	14.37	2	666
mirage-liquidity-sweep-pro	1h	ETHUSD	36	17	-113.58	0.673	-0.161	-188.52	4	250
meridian-flow	1h	ETHUSD	108	49	-266.63	0.756	-0.133	-349.83	2	250
mirage-liquidity-sweep-pro	15m	ETHUSD	53	26	-160.84	0.662	-0.159	-234.28	2	125
meridian-flow	4h	ETHUSD	75	38	54.21	1.066	0.049	-100.80	3	666
volume-weighted-s-r-zones	4h	ETHUSD	116	54	61.89	1.053	0.038	-154.06	4	666
volume-weighted-s-r-zones	1h	ETHUSD	131	58	-383.56	0.656	-0.176	-535.67	1	250
meridian-flow	15m	ETHUSD	145	73	-248.85	0.780	-0.091	-538.15	3	125
liquidity-pools-pro	1h	ETHUSD	184	87	-418.33	0.713	-0.140	-611.90	1	250
volume-weighted-s-r-zones	15m	ETHUSD	112	55	-265.09	0.723	-0.130	-395.86	2	125
liquidity-pools-pro	4h	ETHUSD	118	63	64.19	1.058	0.039	-77.52	4	666
adaptive-fibonacci-trailing-system	4h	ETHUSD	40	12	-139.19	0.585	-0.181	-142.91	3	666
adaptive-fibonacci-trailing-system	1h	ETHUSD	64	32	40.78	1.068	0.044	-68.08	4	250
adaptive-fibonacci-trailing-system	15m	ETHUSD	76	43	-97.62	0.836	-0.060	-283.40	3	125
liquidity-pools-pro	15m	ETHUSD	197	96	-498.13	0.651	-0.169	-685.25	3	125
nexus-fusion-engine-ml	4h	ETHUSD	342	145	-214.15	0.923	-0.024	-384.86	2	666
nexus-fusion-engine-ml	1h	ETHUSD	476	205	-497.75	0.871	-0.063	-810.20	2	250
