scanner	tf	symbol	trades	wins	net	pf	avgR	netStress	windowsUp	days
structure-anchored-vwap	4h	ETHUSD	10	10	192.79	99.000	0.905	176.32	6	333
structure-anchored-vwap	1h	ETHUSD	12	7	59.27	1.563	0.257	111.20	4	125
structure-anchored-vwap	15m	ETHUSD	10	9	223.32	11.313	1.044	126.90	6	42
structure-anchored-vwap	5m	ETHUSD	3	0	-55.76	0.000	-0.949	-56.12	0	14
reactive-trail-system	4h	ETHUSD	61	29	-86.83	0.841	-0.066	-106.98	2	333
reactive-trail-system	1h	ETHUSD	92	41	-260.65	0.676	-0.156	-350.81	1	125
reactive-trail-system	5m	ETHUSD	20	7	-69.07	0.685	-0.169	-124.99	2	14
reactive-trail-system	15m	ETHUSD	69	34	-255.42	0.523	-0.208	-302.43	1	42
mirage-liquidity-sweep-pro	4h	ETHUSD	14	6	-91.20	0.386	-0.339	-120.80	1	333
mirage-liquidity-sweep-pro	5m	ETHUSD	8	5	-7.23	0.878	-0.039	-32.01	2	14
mirage-liquidity-sweep-pro	1h	ETHUSD	16	8	-14.51	0.908	-0.036	-76.08	4	125
mirage-liquidity-sweep-pro	15m	ETHUSD	20	9	-83.03	0.594	-0.208	-116.91	2	42
meridian-flow	1h	ETHUSD	51	21	-220.56	0.587	-0.237	-235.55	2	125
meridian-flow	5m	ETHUSD	6	2	-37.12	0.374	-0.312	-46.84	2	14
meridian-flow	15m	ETHUSD	48	24	-73.82	0.838	-0.070	-195.70	1	42
meridian-flow	4h	ETHUSD	40	17	-124.18	0.716	-0.157	-186.55	3	333
volume-weighted-s-r-zones	5m	ETHUSD	10	4	-79.71	0.271	-0.411	-59.84	1	14
volume-weighted-s-r-zones	15m	ETHUSD	44	25	-21.72	0.938	-0.017	-156.38	4	42
volume-weighted-s-r-zones	1h	ETHUSD	61	25	-189.13	0.703	-0.160	-247.62	3	125
volume-weighted-s-r-zones	4h	ETHUSD	62	29	-45.77	0.923	-0.026	-183.13	3	333
liquidity-pools-pro	4h	ETHUSD	63	34	-28.65	0.947	-0.014	-116.87	4	333
liquidity-pools-pro	1h	ETHUSD	80	37	-232.68	0.687	-0.158	-370.58	2	125
liquidity-pools-pro	5m	ETHUSD	16	12	55.71	1.709	0.176	-12.81	5	14
liquidity-pools-pro	15m	ETHUSD	59	29	-223.54	0.572	-0.208	-313.00	1	42
adaptive-fibonacci-trailing-system	5m	ETHUSD	1	0	-19.86	0.000	-1.000	-19.98	0	14
adaptive-fibonacci-trailing-system	4h	ETHUSD	18	6	-90.06	0.481	-0.257	-92.78	3	333
adaptive-fibonacci-trailing-system	1h	ETHUSD	30	12	-57.11	0.820	-0.082	-119.61	3	125
adaptive-fibonacci-trailing-system	15m	ETHUSD	23	13	6.21	1.035	0.023	-77.35	4	42
nexus-fusion-engine-ml	4h	ETHUSD	176	77	-109.58	0.928	-0.023	-265.08	3	333
nexus-fusion-engine-ml	1h	ETHUSD	240	93	-599.83	0.604	-0.185	-717.48	0	125
nexus-fusion-engine-ml	5m	ETHUSD	38	17	-76.21	0.699	-0.101	-174.25	4	14
nexus-fusion-engine-ml	15m	ETHUSD	208	86	-543.36	0.595	-0.184	-741.42	2	42
self-aware-trend-system	5m	ETHUSD	64	23	-170.93	0.685	-0.139	-295.35	4	14
self-aware-trend-system	4h	ETHUSD	145	64	-274.41	0.773	-0.106	-344.95	2	333
abcd-harmonic-projection	5m	ETHUSD	15	5	-89.72	0.439	-0.307	-118.38	1	14
abcd-harmonic-projection	15m	ETHUSD	35	21	40.43	1.154	0.066	41.55	3	42
self-aware-trend-system	1h	ETHUSD	206	84	-561.67	0.586	-0.195	-662.34	1	125
self-aware-trend-system	15m	ETHUSD	166	66	-555.31	0.503	-0.239	-718.42	2	42
abcd-harmonic-projection	4h	ETHUSD	29	11	-27.71	0.849	-0.046	-44.11	3	333
abcd-harmonic-projection	1h	ETHUSD	39	16	-101.55	0.725	-0.130	-156.41	3	125
pulse-trend-radar	4h	ETHUSD	34	15	-55.42	0.845	-0.074	-72.61	4	333
pulse-trend-radar	1h	ETHUSD	53	22	-111.74	0.808	-0.098	-167.42	5	125
pulse-trend-radar	5m	ETHUSD	26	18	73.29	1.457	0.144	-22.82	5	14
pulse-trend-radar	15m	ETHUSD	56	22	-321.78	0.374	-0.340	-439.19	2	42
breakout-pattern-setup	5m	ETHUSD	18	6	-55.92	0.603	-0.157	-106.56	2	14
breakout-pattern-setup	4h	ETHUSD	10	5	-15.41	0.737	-0.068	-17.75	3	333
breakout-pattern-setup	1h	ETHUSD	21	9	-49.10	0.658	-0.115	-59.37	3	125
breakout-pattern-setup	15m	ETHUSD	26	11	-43.89	0.774	-0.082	-90.29	5	42
daily-volume-profile-pro	1h	ETHUSD	22	12	-71.06	0.634	-0.163	-96.83	2	125
daily-volume-profile-pro	15m	ETHUSD	7	3	-61.41	0.196	-0.450	-44.72	3	42
daily-volume-profile-pro	5m	ETHUSD	0	0	0.00	0.000	0.000	0.00	0	14
daily-volume-profile-pro	4h	ETHUSD	50	30	-95.22	0.685	-0.098	-110.82	2	333
stealthtrail-supertrend-ml-pro	4h	ETHUSD	22	7	95.67	1.898	0.226	82.39	6	333
stealthtrail-supertrend-ml-pro	1h	ETHUSD	73	31	-91.97	0.812	-0.060	-165.83	2	125
precision-sniper	5m	ETHUSD	5	0	-67.41	0.000	-0.696	-72.82	0	14
stealthtrail-supertrend-ml-pro	5m	ETHUSD	60	20	-254.42	0.498	-0.239	-296.51	2	14
precision-sniper	15m	ETHUSD	106	43	-294.57	0.582	-0.159	-479.00	2	42
stealthtrail-supertrend-ml-pro	15m	ETHUSD	88	37	-179.22	0.711	-0.105	-329.44	2	42
precision-sniper	1h	ETHUSD	103	46	28.48	1.039	0.022	-133.58	4	125
precision-sniper	4h	ETHUSD	43	15	-119.41	0.693	-0.147	-133.66	3	333
smart-breakout-targets	1h	ETHUSD	8	5	44.00	1.739	0.281	24.16	3	125
smart-breakout-targets	15m	ETHUSD	7	5	77.55	4.352	0.551	56.84	3	42
smart-breakout-targets	5m	ETHUSD	4	2	-23.51	0.409	-0.291	-26.83	2	14
smart-breakout-targets	4h	ETHUSD	5	4	87.48	5.358	0.877	123.59	3	333
adaptive-momentum-fusion	4h	ETHUSD	222	100	246.71	1.141	0.060	-74.10	5	333
adaptive-momentum-fusion	1h	ETHUSD	299	126	-517.38	0.711	-0.116	-726.14	1	125
adaptive-momentum-fusion	5m	ETHUSD	54	20	-195.36	0.520	-0.197	-316.20	2	14
adaptive-momentum-fusion	15m	ETHUSD	255	102	-523.32	0.679	-0.140	-759.39	2	42
swing-volume-profile-pro	5m	ETHUSD	12	5	-10.71	0.898	-0.037	-57.01	3	14
swing-volume-profile-pro	1h	ETHUSD	75	40	-59.77	0.907	-0.031	-153.48	3	125
swing-volume-profile-pro	4h	ETHUSD	54	25	-220.81	0.525	-0.228	-258.50	2	333
swing-volume-profile-pro	15m	ETHUSD	57	29	-196.35	0.544	-0.187	-312.93	0	42
stealthtrail-supertrend	4h	ETHUSD	59	17	-40.98	0.899	-0.032	-62.93	2	333
stealthtrail-supertrend	5m	ETHUSD	72	22	-306.50	0.475	-0.250	-344.11	3	14
stealthtrail-supertrend	1h	ETHUSD	83	32	-176.51	0.689	-0.112	-276.34	2	125
stealthtrail-supertrend	15m	ETHUSD	93	38	-227.64	0.646	-0.132	-326.99	3	42
adaptive-momentum-classifier	4h	ETHUSD	42	20	-22.91	0.943	-0.018	36.26	4	333
adaptive-momentum-classifier	1h	ETHUSD	75	31	-270.33	0.603	-0.200	-369.65	3	125
adaptive-momentum-classifier	5m	ETHUSD	9	5	20.96	1.258	0.134	0.23	3	14
adaptive-momentum-classifier	15m	ETHUSD	48	21	-255.49	0.403	-0.303	-333.39	1	42
auto-s-r-channels	4h	ETHUSD	1	1	8.12	99.000	0.419	7.53	1	333
auto-s-r-channels	1h	ETHUSD	2	1	-12.77	0.358	-0.316	-13.61	0	125
squeeze-breakout-pro	5m	ETHUSD	18	7	-49.71	0.582	-0.138	-71.19	2	14
squeeze-breakout-pro	1h	ETHUSD	23	5	-98.87	0.455	-0.224	-114.71	2	125
auto-s-r-channels	15m	ETHUSD	2	1	19.33	2.058	0.510	12.12	1	42
squeeze-breakout-pro	15m	ETHUSD	32	9	-131.80	0.504	-0.215	-178.25	2	42
